C,C#,D,Eb,E,F,F#,G,Ab,A,Bb,B,key
0.243967828,0.0,0.08310992,0.0,0.131367292,0.136729223,0.0,0.198391421,0.0,0.109919571,0.0,0.096514745,C
0.220883534,0.0,0.136546185,0.0,0.120481928,0.140562249,0.0,0.21686747,0.0,0.072289157,0.0,0.092369478,C
0.211711712,0.002252252,0.108108108,0.004504505,0.117117117,0.132882883,0.0,0.268018018,0.011261261,0.092342342,0.002252252,0.04954955,C
0.175141243,0.0,0.103578154,0.0,0.175141243,0.097928437,0.0,0.265536723,0.016949153,0.094161959,0.0,0.071563089,C
0.147928994,0.00591716,0.136094675,0.00591716,0.189349112,0.065088757,0.0,0.331360947,0.0,0.01183432,0.0,0.106508876,C
0.218543046,0.0,0.145695364,0.0,0.119205298,0.052980132,0.0,0.245033113,0.0,0.132450331,0.0,0.086092715,C
0.172413793,0.0,0.120689655,0.00862069,0.112068966,0.094827586,0.0,0.232758621,0.0,0.112068966,0.017241379,0.129310345,C
0.297658863,0.0,0.157190635,0.0,0.100334448,0.090301003,0.0,0.204013378,0.0,0.086956522,0.0,0.063545151,C
0.210084034,0.016806723,0.168067227,0.008403361,0.142857143,0.12605042,0.008403361,0.201680672,0.008403361,0.033613445,0.008403361,0.067226891,C
0.217391304,0.0,0.115942029,0.0,0.115942029,0.106280193,0.0,0.231884058,0.0,0.125603865,0.009661836,0.077294686,C
0.0,0.024691358,0.296296296,0.0,0.086419753,0.0,0.098765432,0.12345679,0.0,0.209876543,0.0,0.160493827,D
0.0,0.135849057,0.256603774,0.003773585,0.101886792,0.0,0.120754717,0.079245283,0.003773585,0.230188679,0.0,0.067924528,D
0.006896552,0.117241379,0.220689655,0.0,0.089655172,0.0,0.137931034,0.124137931,0.0,0.186206897,0.0,0.117241379,D
0.0,0.074433657,0.258899676,0.0,0.093851133,0.003236246,0.213592233,0.097087379,0.003236246,0.197411003,0.003236246,0.055016181,D
0.013586957,0.081521739,0.172554348,0.002717391,0.152173913,0.005434783,0.076086957,0.111413043,0.008152174,0.262228261,0.013586957,0.100543478,D
0.003921569,0.105882353,0.168627451,0.003921569,0.137254902,0.003921569,0.137254902,0.070588235,0.003921569,0.207843137,0.003921569,0.152941176,D
0.0,0.128125,0.18125,0.0,0.09375,0.003125,0.159375,0.0875,0.0,0.209375,0.00625,0.13125,D
0.0,0.040229885,0.327586207,0.0,0.097701149,0.0,0.224137931,0.114942529,0.0,0.137931034,0.005747126,0.051724138,D
0.012461059,0.090342679,0.174454829,0.0,0.121495327,0.003115265,0.096573209,0.127725857,0.0,0.255451713,0.0,0.118380062,D
0.0,0.082644628,0.181818182,0.0,0.099173554,0.008264463,0.115702479,0.115702479,0.0,0.190082645,0.016528926,0.190082645,D
0.012765957,0.185106383,0.0,0.078723404,0.161702128,0.0,0.09787234,0.0,0.140425532,0.114893617,0.0,0.208510638,E
0.0,0.075949367,0.0,0.139240506,0.240506329,0.0,0.088607595,0.0,0.113924051,0.088607595,0.0,0.253164557,E
